Name,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Russia,2021,61.5,54.4,41.7,42.4,93.0,66.1,99.6,84.1,55.4,67.3,74.0,30.0,30.0
Russia,2020,61.0,56.8,41.3,44.4,88.5,63.8,98.7,80.2,52.1,68.2,77.8,30.0,30.0
Russia,2019,58.9,52.4,36.6,45.1,89.4,62.3,86.6,78.4,52.5,65.1,77.8,30.0,30.0
Russia,2018,58.2,48.7,38.1,46.9,85.8,62.5,87.7,77.0,52.0,60.8,79.4,30.0,30.0
Russia,2017,57.1,47.6,38.2,44.5,81.8,61.5,93.4,74.8,50.8,57.3,75.2,30.0,30.0
Russia,2016,50.6,20.0,27.0,N/A,82.2,56.2,N/A,72.2,57.6,62.9,72.4,25.0,30.0
Russia,2015,52.1,20.0,28.0,N/A,86.1,57.8,N/A,76.3,58.9,63.9,75.0,25.0,30.0
Russia,2014,51.9,25.0,22.1,N/A,85.6,61.5,N/A,70.0,55.8,69.4,74.6,25.0,30.0
Russia,2013,51.1,25.0,24.0,N/A,86.9,54.4,N/A,69.2,52.6,66.7,77.4,25.0,30.0
Russia,2012,50.5,25.0,21.0,N/A,82.5,48.6,N/A,65.1,63.5,66.3,68.2,25.0,40.0
Russia,2011,50.5,25.0,22.0,N/A,82.7,65.1,N/A,50.7,62.9,63.1,68.2,25.0,40.0
Russia,2010,50.3,25.0,21.0,N/A,82.3,66.5,N/A,52.2,59.6,62.6,68.4,25.0,40.0
Russia,2009,50.8,25.0,23.0,N/A,78.9,70.6,N/A,54.0,60.0,65.5,60.8,30.0,40.0
Russia,2008,49.8,30.0,25.0,N/A,79.2,69.5,N/A,53.7,61.7,64.4,44.2,30.0,40.0
Russia,2007,52.2,30.0,24.0,N/A,79.5,69.5,N/A,62.0,61.5,62.8,62.6,30.0,40.0
Russia,2006,52.4,30.0,28.0,N/A,90.8,63.5,N/A,59.7,61.8,68.0,62.6,30.0,30.0
Russia,2005,51.3,30.0,27.0,N/A,91.5,58.9,N/A,55.0,61.8,65.6,63.2,30.0,30.0
Russia,2004,52.8,30.0,27.0,N/A,91.6,65.1,N/A,55.0,N/A,63.4,63.2,50.0,30.0
Russia,2003,50.8,30.0,23.0,N/A,90.6,64.5,N/A,55.0,N/A,57.0,57.4,50.0,30.0
Russia,2002,48.7,30.0,21.0,N/A,84.9,58.9,N/A,55.0,N/A,51.3,57.4,50.0,30.0
Russia,2001,49.8,50.0,24.0,N/A,74.7,73.0,N/A,55.0,N/A,38.9,52.2,50.0,30.0
Russia,2000,51.8,50.0,24.0,N/A,74.6,73.0,N/A,55.0,N/A,57.5,52.4,50.0,30.0
Russia,1999,54.5,50.0,23.0,N/A,74.3,65.3,N/A,55.0,N/A,50.3,53.2,50.0,70.0
Russia,1998,52.8,50.0,26.0,N/A,74.2,67.3,N/A,55.0,N/A,24.3,58.6,50.0,70.0
Russia,1997,48.6,50.0,30.0,N/A,77.7,58.5,N/A,55.0,N/A,0.0,46.0,50.0,70.0
Russia,1996,51.6,50.0,30.0,N/A,75.5,66.5,N/A,70.0,N/A,0.0,52.0,70.0,50.0
Russia,1995,51.1,50.0,10.0,N/A,75.5,67.1,N/A,85.0,N/A,0.0,52.0,70.0,50.0
